    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            5.7039                                    20.621
            1        1       00:00:00        0.001          1.5389                                  37.5
           50        1       00:00:02        0.001           1.613            1.4885               31.25                33.898
          100        1       00:00:04        0.001          1.3592            1.3963               31.25                36.441
          150        1       00:00:05        0.001          1.2699            1.3796                37.5                39.266
          200        2       00:00:07        0.001          1.2275            1.3914               43.75                38.701
          250        2       00:00:08        0.001          1.2585            1.2375                37.5                47.175
          300        2       00:00:10        0.001          1.3459             1.225                37.5                46.045
          350        2       00:00:11        0.001          1.3642             1.146                37.5                50.847
          400        3       00:00:13        0.001            1.39            1.1728               43.75                47.458
          450        3       00:00:14        0.001          1.0946            1.1599               43.75                48.023
          500        3       00:00:16        0.001          1.1182            1.1401                37.5                46.893
          550        4       00:00:17        0.001         0.96535            1.2322                  50                46.893
          600        4       00:00:19        0.001          1.2264            1.2167                37.5                 48.87
          650        4       00:00:20        0.001         0.93798            1.1632               68.75                50.565
          700        4       00:00:22        0.001          1.6518            1.1344               56.25                54.802
          750        5       00:00:23        0.001          1.2891            1.4061                37.5                45.198
          800        5       00:00:25        0.001         0.84972            1.3309                62.5                41.808
          850        5       00:00:26        0.001          0.7909            1.0993               56.25                49.718
          900        6       00:00:28        0.001          1.1531             1.066               56.25                56.497
          950        6       00:00:29        0.001         0.89568            1.0881               68.75                 56.78
         1000        6       00:00:31        0.001           1.212            2.3699               43.75                33.333
         1050        6       00:00:32        0.001         0.65965           0.99821                  75                60.452
         1100        7       00:00:34        0.001         0.85846           0.98424                62.5                61.017
         1150        7       00:00:35        0.001         0.70958            1.1112                62.5                 56.78
         1200        7       00:00:37        0.001         0.54203            1.0653                87.5                57.062
         1250        8       00:00:38        0.001         0.87027           0.98838                  75                62.429
         1300        8       00:00:39        0.001         0.87395            1.0203               56.25                59.605
         1350        8       00:00:41        0.001          1.1346           0.92281               43.75                64.689
         1400        8       00:00:42        0.001         0.86175           0.90411               56.25                67.797
         1450        9       00:00:44        0.001         0.73774           0.98964                  50                62.712
         1500        9       00:00:45        0.001         0.44607           0.84692               81.25                66.949
         1550        9       00:00:47        0.001         0.63303            1.1163                  75                58.757
         1600       10       00:00:48        0.001         0.67307           0.91994               68.75                66.102
         1650       10       00:00:50        0.001         0.68734            1.0506                  75                59.605
         1700       10       00:00:51        0.001         0.49809            0.8976                  75                67.232
         1750       10       00:00:52        0.001          0.7624           0.90351                  75                64.407
