    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
         4550       25       00:02:12       0.0005         0.29378           0.61892               93.75                77.198
         4600       26       00:02:13       0.0005         0.17244           0.58538                 100                78.846
         4650       26       00:02:15       0.0005          0.5005           0.60384                87.5                 79.67
         4700       26       00:02:16       0.0005         0.42265           0.70782                87.5                77.747
         4750       27       00:02:18       0.0005         0.49232           0.65111                  75                78.846
         4800       27       00:02:19       0.0005         0.58787            0.7803                  75                75.824
         4850       27       00:02:21       0.0005         0.32603           0.61179                87.5                80.495
         4900       27       00:02:22       0.0005         0.12476           0.72459                 100                76.099
         4950       28       00:02:24       0.0005         0.41181           0.69871               81.25                78.022
         5000       28       00:02:25       0.0005         0.38038           0.60743                87.5                78.846
         5050       28       00:02:27       0.0005         0.31409           0.64572                87.5                74.451
         5100       29       00:02:29       0.0005         0.35161           0.61597                87.5                80.495
         5150       29       00:02:30       0.0005         0.20916           0.58261               93.75                80.769
         5200       29       00:02:32       0.0005         0.29738           0.62862               81.25                81.593
         5250       29       00:02:33       0.0005         0.41366           0.61385               81.25                80.495
         5300       30       00:02:35       0.0005         0.22033           0.59414                87.5                80.495
         5350       30       00:02:36       0.0005         0.22992           0.57528                87.5                80.769
         5400       30       00:02:38       0.0005         0.19624           0.62399               93.75                78.297
         5450       30       00:02:39       0.0005         0.34289           0.66793                87.5                76.923
         5500       31       00:02:41      0.00025         0.18556           0.55451                87.5                81.044
         5550       31       00:02:42      0.00025         0.10607           0.59771               93.75                80.769
         5600       31       00:02:43      0.00025         0.27073           0.55804                87.5                82.692
         5650       32       00:02:45      0.00025         0.20808           0.58687                87.5                80.769
         5700       32       00:02:46      0.00025         0.45577           0.59392               81.25                81.319
         5750       32       00:02:47      0.00025         0.50287           0.64883                  75                 79.67
         5800       32       00:02:49      0.00025         0.30843           0.57901                87.5                 80.22
         5850       33       00:02:50      0.00025        0.066097           0.55902                 100                80.769
         5900       33       00:02:51      0.00025         0.23775           0.60415               93.75                80.769
         5950       33       00:02:53      0.00025         0.33521           0.60924                87.5                80.769
         6000       33       00:02:54      0.00025         0.12139           0.59336               93.75                82.692
         6050       34       00:02:56      0.00025         0.18554           0.60023               93.75                80.769
         6100       34       00:02:57      0.00025         0.22704           0.57406               93.75                82.143
         6150       34       00:02:58      0.00025         0.37808           0.60412                87.5                 80.22
         6200       35       00:03:00      0.00025         0.24854           0.56493               93.75                82.143
         6250       35       00:03:01      0.00025        0.063209           0.58191                 100                80.769
         6300       35       00:03:03      0.00025         0.10874           0.59487                 100                81.868
