1A,1B,1C,1D,1E,2A,2B,2C,2D,2E,3A,3B,3C,3D,3E,4A,4B,4C,4D,4E,5A,5B,5C,5D,5E
30.9594910744757,34.8590557671518,30.7102244800154,35.9297175355862,32.0466563568977,25.8027547168721,20.0621531769457,22.850839914441,27.0309492573396,27.1723663999065,23.5702765364296,26.4040749424103,24.4954952712328,27.2100228248708,27.987903976454,24.8918121335244,26.2311965388938,27.0452837085402,24.298447809053,28.8837361147644,25.8574490040883,26.4756843518849,33.638183554823,35.0417416537903,32.3213547008617
31.3046514990737,32.3332870960478,28.5822100073888,35.2472923576766,32.4250395133683,23.2073844209779,22.0219179610339,31.5010814579023,26.752322654919,30.2961905631204,21.8787684142459,21.2093007414926,31.8436895066126,30.779345641161,33.300758904404,29.4053232380738,22.9283907580011,30.9227453474855,27.1855516731292,40.0058518790749,27.0305738556309,21.963611363956,30.829103866835,30.7041899330492,28.0665994615856
33.4409291382171,34.457180246831,30.3031197454805,31.8370997429688,38.0740582270913,22.4713415758536,25.0097123603234,23.8709010033065,28.970245117905,30.2695522753008,19.8161112611814,25.760715851172,29.1868444690565,29.3381276813366,32.8943402952488,30.3229146056604,24.3474208811205,32.8293681945181,30.4231131758378,32.9959216051845,33.4850117183926,30.4991452205878,28.3237627411133,31.11442526772,30.4028723491168
30.505456115849,34.6061381902597,30.692193866714,31.8497863020368,35.3876845394387,24.9490718298068,20.3666153566765,29.7443297213647,28.5327849237095,30.7580982033793,23.1441088552199,23.5411753477113,32.8919115832703,29.7589993428124,31.4229258792725,31.7197629345606,21.3419133418735,35.4228685637393,33.9047534972942,31.7289606935067,32.2520761940719,31.4546661728806,30.6842625581481,35.5325327882866,30.199353450606
31.5524878929347,31.6831545933947,32.441723947618,31.7175014944448,33.3241868821793,27.9248454237931,19.2149597807165,25.780725638513,28.5599211160894,29.4808170072362,21.051042376113,16.4264141561656,26.1747130282483,31.9211340055817,33.2155587475378,30.0888217784822,23.677540170677,33.2096050194457,27.6840997622703,30.6289276956638,32.5663907365639,35.2296667349497,30.7123732553325,30.7671524301151,29.8158768315046
31.0168574723779,33.3614462188296,34.1358159730178,35.1591469359797,35.5553272455506,21.7379042717396,20.5142850615888,29.1357348673806,28.0792384872507,28.5405670695136,20.218588941991,19.1737803357109,28.0626163912566,27.0813965762743,30.7087968612252,36.4119634679891,22.5793527317137,35.5760612603241,26.677895952147,30.4187267095743,33.2688983227963,29.2895198913253,29.9566750363933,28.9380456069702,31.2735642496928
31.7062073021638,32.7563593144969,33.5281343464592,29.5287339418624,35.1989209514465,28.2306126200145,20.356437336849,28.976429600399,23.7912946050557,35.8565509194699,22.7999287400611,22.2451923663411,24.8460340077967,27.2620622710927,31.0857406397992,32.8021647774726,23.7468772681282,39.5598318761316,27.7058135775437,31.6566100679648,31.0199257216911,31.2933282643207,31.2471217584073,34.2753230603273,34.6466335097205
30.8181081848201,31.222725455764,34.9961368793507,33.8249555207167,31.9684937085453,21.7490763110185,27.472459922247,32.0859843776014,28.0608475511783,30.6617094190906,24.8399921365569,16.3568306109095,31.6645171260275,26.4230872731437,29.2007200414365,32.7207216080138,21.8488400226523,32.9093511706165,28.1328425230472,29.0040641299384,35.0314888554888,28.9464280824831,28.9265495170722,33.8942816247765,29.8780900827799
33.5300255385541,27.1356842832864,30.1979605601687,30.8176445460789,32.7389792752172,26.4783077950965,21.2328227611241,32.1932355033132,27.4864083591054,29.6581208270713,19.5424869197232,18.3314717156384,29.1147623874151,30.1756172067088,33.372087493843,29.871410720063,23.7863233377277,31.2706334103663,27.9622029602505,33.1363313044813,34.2980171352664,28.0647507469704,35.3151132919801,29.2271835997719,34.6828823074524
31.5222458530903,34.6988965163057,32.1767285477623,33.1944107255587,33.1598756907887,25.7007321363779,20.8127513590004,33.7253446604858,30.2272834149448,31.5698807477093,23.4052438264849,20.9680288479198,30.6819853352648,30.9929699984307,28.8579727564104,33.1649623874245,24.6207179937715,30.9687339279482,32.1182786112318,32.5680393981647,33.8273832558922,32.0618902669183,33.8707829218503,30.2449878407347,34.8356757103248
