    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00       0.0001                            1.6085                                    20.339
            1        1       00:00:00       0.0001          1.6219                                21.875
           50        2       00:00:09       0.0001          1.6175            1.5947               9.375                20.339
          100        3       00:00:18       0.0001          1.4272            1.4833              39.062                31.073
          150        4       00:00:27       0.0001           1.475            1.4322              29.688                36.158
          200        5       00:00:36       0.0001          1.3418            1.2812               31.25                 46.61
          250        6       00:00:45       0.0001          1.4067            1.2241              40.625                 46.61
          300        7       00:00:56       0.0001          1.0009            1.0772              65.625                57.627
          350        8       00:01:06       0.0001         0.89452            1.0171              64.062                59.322
          400       10       00:01:15       0.0001         0.74671           0.96638              71.875                63.842
          450       11       00:01:24       0.0001         0.70848           0.90091              67.188                65.819
          500       12       00:01:33       0.0001         0.59294           0.87407              79.688                67.232
          550       13       00:01:42       0.0001         0.60418           0.80108              76.562                67.797
          600       14       00:01:52       0.0001         0.54006            0.9554               81.25                66.384
          650       15       00:02:00       0.0001         0.58343           0.74237              79.688                71.751
          700       16       00:02:09       0.0001         0.34561           0.79965              90.625                71.186
          750       18       00:02:18       0.0001         0.34072           0.76287              90.625                73.164
          800       19       00:02:27       0.0001         0.30914           0.72097              84.375                75.141
          850       20       00:02:37       0.0001         0.24211           0.72683              90.625                74.011
          900       21       00:02:46       0.0001         0.24724           0.77707              89.062                76.271
          950       22       00:02:55       0.0001         0.25263            0.7541              90.625                75.424
         1000       23       00:03:06       0.0001         0.19032           0.78399               93.75                77.119
         1050       24       00:03:15       0.0001         0.16979           0.91323               93.75                74.011
         1100       25       00:03:25       0.0001        0.091158           0.88385              98.438                75.989
         1150       27       00:03:35       0.0001         0.16519           0.95382               93.75                74.859
         1200       28       00:03:45       0.0001        0.095879           0.68763              95.312                77.966
         1250       29       00:03:54       0.0001        0.034142            0.8801                 100                77.966
         1300       30       00:04:04       0.0001         0.11828           0.87906               93.75                80.226
         1320       30       00:04:08       0.0001         0.10088           0.99702              96.875                75.141
