    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00       0.0001                             1.609                                    18.881
            1        1       00:00:00       0.0001          1.6005                                    25
           50        2       00:00:09       0.0001          1.5813            1.5882               18.75                21.329
          100        3       00:00:19       0.0001           1.468            1.5157              39.062                31.469
          150        4       00:00:28       0.0001          1.3599            1.3806              39.062                39.161
          200        5       00:00:37       0.0001          1.0348            1.0876              48.438                53.846
          250        7       00:00:47       0.0001         0.82683           0.98416              67.188                55.944
          300        8       00:00:56       0.0001         0.80665           0.89219              59.375                62.587
          350        9       00:01:06       0.0001          0.8843           0.87323              65.625                62.937
          400       10       00:01:15       0.0001         0.76468            0.9625              65.625                62.587
          450       12       00:01:25       0.0001         0.62258           0.77496                  75                70.629
          500       13       00:01:35       0.0001         0.52181           0.90914              73.438                68.881
          550       14       00:01:46       0.0001         0.56722           0.77377              70.312                73.077
          600       15       00:01:55       0.0001         0.38376           0.68776              85.938                73.077
          650       17       00:02:05       0.0001         0.32657           0.71325                87.5                77.273
          700       18       00:02:14       0.0001         0.24086           0.67538              92.188                75.175
          750       19       00:02:23       0.0001         0.41497           0.70028              82.812                74.476
          800       20       00:02:32       0.0001         0.22433           0.76222              90.625                76.224
          850       22       00:02:42       0.0001         0.30093           0.69873              90.625                77.972
          900       23       00:02:51       0.0001          0.1227           0.83829              95.312                77.972
          950       24       00:03:00       0.0001         0.14934            1.1944               93.75                66.783
         1000       25       00:03:09       0.0001         0.16322           0.66501              95.312                 79.72
         1050       27       00:03:17       0.0001        0.089318           0.80572              96.875                79.021
         1100       28       00:03:26       0.0001         0.14034           0.91676              95.312                77.972
         1150       29       00:03:34       0.0001        0.091943           0.85622              96.875                78.322
         1200       30       00:03:42       0.0001         0.11455           0.77523              96.875                76.923
