    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            12.078                                    21.186
            1        1       00:00:00        0.001          1.9656                                20.312
           50        2       00:00:03        0.001          1.3703            1.3783              40.625                36.158
          100        3       00:00:06        0.001          1.2915            1.4508              46.875                34.463
          150        4       00:00:08        0.001          1.2836             1.359              46.875                38.983
          200        5       00:00:11        0.001          1.1208            1.1263              60.938                51.412
          250        6       00:00:13        0.001          1.1344            1.0437               56.25                57.627
          300        7       00:00:16        0.001          1.0612            1.0846              54.688                 57.91
          350        8       00:00:18        0.001         0.82987            1.0106              65.625                60.734
          400       10       00:00:21        0.001          0.8388           0.95674              67.188                60.734
          450       11       00:00:23        0.001         0.76735           0.89284              71.875                64.689
          500       12       00:00:26        0.001         0.91419            1.1817              67.188                49.435
          550       13       00:00:28        0.001          0.7517            0.9225              71.875                64.689
          600       14       00:00:32        0.001         0.65633           0.74933              76.562                74.294
          650       15       00:00:35        0.001         0.78501            0.8587              67.188                66.384
          700       16       00:00:38        0.001         0.65915            2.0342              71.875                29.379
          750       18       00:00:41        0.001         0.63879            1.1741              78.125                 51.13
          800       19       00:00:43        0.001         0.55155           0.67149               81.25                76.836
          850       20       00:00:46        0.001          0.4925           0.67884                87.5                76.271
          900       21       00:00:48        0.001         0.56383           0.67607              84.375                73.446
          950       22       00:00:51        0.001         0.47572            0.6218              92.188                75.424
         1000       23       00:00:54        0.001         0.65474           0.75947              73.438                71.186
         1050       24       00:00:56        0.001         0.49306           0.85233              79.688                65.537
         1100       25       00:00:59        0.001         0.57806           0.69126              73.438                74.011
         1150       27       00:01:02       0.0005         0.59406           0.54088              79.688                81.073
         1200       28       00:01:04       0.0005         0.43243            0.5633              84.375                80.791
         1250       29       00:01:07       0.0005         0.48199           0.50857              85.938                81.356
         1300       30       00:01:10       0.0005         0.48146           0.56766              84.375                77.966
         1350       31       00:01:12       0.0005         0.43142            0.5843              82.812                79.379
         1400       32       00:01:15       0.0005         0.41439           0.58017                87.5                75.989
         1450       33       00:01:18       0.0005         0.37858           0.57735              90.625                76.836
         1500       35       00:01:20       0.0005         0.35724           0.57183              85.938                76.554
         1550       36       00:01:23       0.0005         0.37136           0.65266              90.625                74.576
         1600       37       00:01:26       0.0005         0.32636           0.59677              90.625                77.401
         1650       38       00:01:29       0.0005          0.4319           0.61293              85.938                78.814
         1700       39       00:01:33       0.0005         0.33319           0.63258              89.062                78.814
         1750       40       00:01:36       0.0005         0.39857           0.49794              89.062                82.768
         1800       41       00:01:39       0.0005         0.29166           0.52568              90.625                81.073
         1850       43       00:01:42       0.0005         0.28587           0.60057              92.188                79.379
         1900       44       00:01:45       0.0005         0.41793           0.53557               81.25                81.638
         1950       45       00:01:47       0.0005         0.29968           0.52307              95.312                81.638
         2000       46       00:01:50       0.0005         0.33542           0.67558              89.062                76.554
         2050       47       00:01:52       0.0005         0.30507           0.46211              89.062                82.486
         2100       48       00:01:55       0.0005         0.44979            0.6627              84.375                76.271
         2150       49       00:01:57       0.0005         0.31805           0.47478              90.625                83.333
         2200       50       00:02:02       0.0005         0.28165           0.52617              92.188                81.073
         2250       52       00:02:04      0.00025         0.32919           0.51458              89.062                82.203
         2300       53       00:02:07      0.00025         0.20964           0.52718              92.188                82.768
         2350       54       00:02:09      0.00025         0.25585           0.43987              89.062                85.028
         2400       55       00:02:12      0.00025         0.28902           0.45547              92.188                85.311
         2450       56       00:02:14      0.00025         0.32306           0.45048              89.062                85.876
         2500       57       00:02:17      0.00025         0.22359           0.45616              96.875                85.876
         2550       58       00:02:20      0.00025         0.27299           0.46082              92.188                84.181
         2600       60       00:02:23      0.00025         0.24141           0.50561              92.188                82.486
         2650       61       00:02:26      0.00025         0.31321            0.4937                87.5                81.073
         2700       62       00:02:29      0.00025         0.43134           0.51812              78.125                81.921
         2750       63       00:02:32      0.00025         0.33776           0.42364                87.5                86.158
         2800       64       00:02:35      0.00025         0.33741           0.45329                87.5                83.333
         2850       65       00:02:37      0.00025         0.18052           0.45801              98.438                85.028
         2900       66       00:02:40      0.00025         0.20575           0.51483               93.75                81.356
         2950       68       00:02:42      0.00025         0.24773           0.42685              92.188                85.593
         3000       69       00:02:45      0.00025         0.27937           0.52077              92.188                82.768
         3050       70       00:02:47      0.00025         0.22638           0.49733               93.75                81.921
         3100       71       00:02:50      0.00025         0.23584           0.45941              92.188                85.028
         3150       72       00:02:52      0.00025         0.28717           0.51809              92.188                81.638
         3200       73       00:02:55      0.00025         0.29095           0.45426               93.75                84.181
         3250       74       00:02:57      0.00025         0.24213            0.4532              89.062                84.746
         3300       75       00:03:00      0.00025         0.28063           0.53422                87.5                82.203
         3350       77       00:03:03     0.000125         0.14303           0.45416              96.875                85.593
         3400       78       00:03:05     0.000125         0.17894           0.44648              96.875                85.876
         3450       79       00:03:08     0.000125         0.27683           0.46062              89.062                84.463
         3500       80       00:03:11     0.000125         0.25636           0.43515              89.062                86.158
         3520       80       00:03:12     0.000125         0.20208           0.44544               93.75                85.593
Training stopped: Max epochs completed
