    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00       0.0005                            9.2068                                    20.629
            1        1       00:00:00       0.0005           1.768                                 31.25
           50        1       00:00:01       0.0005          1.1896            1.1336                37.5                53.147
          100        1       00:00:03       0.0005          1.1852            1.1701               56.25                 49.65
          150        1       00:00:04       0.0005          1.0445            1.2133               56.25                43.357
          200        2       00:00:05       0.0005         0.85069           0.97763                  75                56.993
          250        2       00:00:07       0.0005         0.75144           0.80187               81.25                68.531
          300        2       00:00:08       0.0005         0.58898           0.96496                  75                62.937
          350        3       00:00:09       0.0005         0.68845           0.68535                  75                71.678
          400        3       00:00:10       0.0005         0.47679            1.0036                  75                59.091
          450        3       00:00:12       0.0005          1.0664             1.218                  50                55.594
          500        4       00:00:13       0.0005         0.46272           0.67604                87.5                72.378
          550        4       00:00:15       0.0005         0.60329            0.8101               81.25                67.832
          600        4       00:00:16       0.0005         0.48609           0.71778                87.5                72.028
          650        5       00:00:17       0.0005         0.80332           0.66464                  75                73.776
          700        5       00:00:19       0.0005         0.71034           0.64262               81.25                72.727
          750        5       00:00:20       0.0005          1.1137            1.0782               68.75                63.636
          800        5       00:00:22       0.0005         0.58621             1.183               81.25                55.944
          850        6       00:00:23       0.0005         0.23338            0.7584                 100                71.678
          900        6       00:00:24       0.0005         0.47101           0.90849                  75                66.783
          950        6       00:00:26       0.0005         0.64655           0.71575                  75                72.028
         1000        7       00:00:27       0.0005          0.4268           0.59652               81.25                76.573
         1050        7       00:00:29       0.0005         0.76434           0.69143               68.75                74.476
         1100        7       00:00:31       0.0005         0.53109           0.83296                87.5                67.832
         1150        8       00:00:32       0.0005         0.27015           0.52269                87.5                81.119
         1200        8       00:00:33       0.0005         0.39111           0.97041               81.25                68.531
         1250        8       00:00:35       0.0005          0.7573            1.4357               68.75                56.643
         1300        9       00:00:36       0.0005         0.19197           0.64921               93.75                74.825
         1350        9       00:00:37       0.0005         0.37932           0.89126               81.25                71.329
         1400        9       00:00:38       0.0005         0.24604           0.74806                87.5                72.727
         1450       10       00:00:40       0.0005         0.87465           0.50516               68.75                 80.07
         1500       10       00:00:41       0.0005         0.75147           0.74374                62.5                72.727
         1550       10       00:00:42       0.0005         0.11958           0.74227               93.75                75.874
         1600       10       00:00:43       0.0005         0.43086           0.76391                87.5                75.175
         1650       11       00:00:45      0.00025         0.71068            0.4793               81.25                82.517
         1700       11       00:00:46      0.00025        0.091686            0.5369               93.75                81.119
         1750       11       00:00:47      0.00025         0.36206           0.75839                87.5                76.573
         1800       12       00:00:48      0.00025        0.081105           0.49376                 100                83.217
         1850       12       00:00:50      0.00025         0.25196           0.85224                87.5                76.573
         1900       12       00:00:51      0.00025         0.34329           0.50984               81.25                80.769
         1950       13       00:00:52      0.00025        0.064209           0.54256                 100                81.119
         2000       13       00:00:53      0.00025         0.12043           0.50335               93.75                83.916
         2050       13       00:00:55      0.00025         0.45782           0.95671                  75                73.077
         2100       14       00:00:56      0.00025        0.048554           0.49551                 100                81.818
         2150       14       00:00:57      0.00025         0.88227           0.61148               81.25                81.119
         2200       14       00:00:59      0.00025         0.06938           0.53524                 100                81.119
         2250       14       00:01:00      0.00025         0.11477           0.73977                 100                77.273
         2300       15       00:01:01      0.00025         0.15888           0.67526               93.75                79.371
         2350       15       00:01:02      0.00025          0.6409           0.89215                  75                72.028
         2400       15       00:01:04      0.00025        0.026112           0.69573                 100                81.469
         2450       16       00:01:05      0.00025        0.054778           0.60873                 100                78.671
         2500       16       00:01:06      0.00025        0.068874           0.57837               93.75                82.517
         2550       16       00:01:08      0.00025        0.096727           0.67986               93.75                80.769
         2600       17       00:01:09      0.00025        0.018427           0.58518                 100                81.469
         2650       17       00:01:10      0.00025         0.10297           0.51929                 100                83.566
         2700       17       00:01:11      0.00025          0.1498            0.5114               93.75                84.965
         2750       18       00:01:13      0.00025         0.16953           0.83021               93.75                76.573
         2800       18       00:01:14      0.00025        0.038117           0.62017                 100                81.818
         2850       18       00:01:16      0.00025         0.15298           0.64586               93.75                82.168
         2900       19       00:01:17      0.00025         0.37229           0.78238               93.75                 80.42
         2950       19       00:01:18      0.00025         0.11935           0.85936                87.5                75.874
         3000       19       00:01:20      0.00025        0.017753           0.61401                 100                82.867
         3050       19       00:01:21      0.00025         0.19729            0.5874               93.75                 80.42
         3100       20       00:01:22      0.00025         0.22187           0.52757                87.5                81.818
         3150       20       00:01:24      0.00025          0.2601           0.58592                87.5                83.217
         3200       20       00:01:25      0.00025        0.073385           0.63177               93.75                83.217
         3220       20       00:01:26      0.00025        0.018688           0.61465                 100                83.566
Training stopped: Max epochs completed
