    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            6.9978                                    18.927
            1        1       00:00:00        0.001           1.641                                  12.5
           50        1       00:00:02        0.001          1.6628            1.4572               31.25                35.593
          100        1       00:00:03        0.001          1.4825            1.3466                  25                40.395
          150        1       00:00:04        0.001          1.3689             1.315                  50                 40.96
          200        2       00:00:06        0.001          1.3031            1.2939                  25                 43.22
          250        2       00:00:07        0.001          1.1931            1.2682                  50                43.785
          300        2       00:00:09        0.001          1.2135            1.2384               43.75                46.328
          350        2       00:00:10        0.001          1.0345            1.3395                62.5                40.113
          400        3       00:00:12        0.001          1.3672            1.1602               43.75                52.825
          450        3       00:00:13        0.001         0.95745            1.2188                62.5                44.068
          500        3       00:00:15        0.001          1.1923            1.2583               56.25                46.893
          550        4       00:00:16        0.001         0.81715            1.0828               56.25                56.497
          600        4       00:00:18        0.001          1.1336            1.1004                37.5                50.282
          650        4       00:00:19        0.001          1.4224            1.0732               43.75                 54.52
          700        4       00:00:21        0.001          1.0405            1.0502                  50                55.085
          750        5       00:00:22        0.001          1.0679             1.078                62.5                54.802
          800        5       00:00:24        0.001          1.0345            1.0272               56.25                 55.65
          850        5       00:00:25        0.001         0.69155            1.2068               81.25                 48.87
          900        6       00:00:27        0.001         0.91393            1.0164                62.5                59.322
          950        6       00:00:28        0.001         0.74832            1.2131                62.5                48.588
         1000        6       00:00:30        0.001         0.74578           0.97019               68.75                58.192
         1050        6       00:00:31        0.001         0.95062            1.0019                  50                57.345
         1100        7       00:00:33        0.001         0.69722           0.98761                  75                59.605
         1150        7       00:00:34        0.001          1.1586            1.1595                62.5                53.955
         1200        7       00:00:36        0.001         0.84153           0.93025               68.75                61.299
         1250        8       00:00:37        0.001          0.5793           0.95809                  75                61.017
         1300        8       00:00:39        0.001         0.59719           0.94102                  75                62.147
