    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
         4500       28       00:02:22       0.0005         0.19572           0.55923                87.5                78.322
         4550       29       00:02:24       0.0005         0.16457           0.52808               93.75                79.371
         4600       29       00:02:25       0.0005         0.46158           0.55298                87.5                80.769
         4650       29       00:02:27       0.0005         0.44785            1.1973                  75                64.685
         4700       30       00:02:28       0.0005         0.22963           0.56611                87.5                78.671
         4750       30       00:02:30       0.0005         0.12046           0.61188                 100                77.972
         4800       30       00:02:31       0.0005         0.29472           0.58127               93.75                77.972
         4850       31       00:02:33      0.00025         0.24274           0.56528                87.5                 80.07
         4900       31       00:02:34      0.00025         0.26004           0.56726               81.25                79.371
         4950       31       00:02:36      0.00025         0.18692             0.544               93.75                79.371
         5000       32       00:02:38      0.00025         0.18559           0.54312                87.5                80.769
         5050       32       00:02:39      0.00025         0.36779             0.508               81.25                82.517
         5100       32       00:02:41      0.00025          0.2558           0.51909                87.5                81.119
         5150       32       00:02:42      0.00025         0.37665           0.54576               81.25                81.469
         5200       33       00:02:44      0.00025         0.16186           0.54482                 100                78.671
         5250       33       00:02:46      0.00025        0.080099           0.54952                 100                 80.07
         5300       33       00:02:47      0.00025         0.28877           0.56313               81.25                 80.42
         5350       34       00:02:49      0.00025         0.18866           0.58335                87.5                 79.72
         5400       34       00:02:51      0.00025         0.10418           0.55017               93.75                 80.07
         5450       34       00:02:52      0.00025         0.07219           0.55977                 100                79.021
         5500       35       00:02:54      0.00025         0.16993           0.54616                 100                82.517
         5550       35       00:02:56      0.00025          0.1736           0.53583               93.75                81.818
         5600       35       00:02:57      0.00025         0.68758           0.57346               68.75                 80.42
         5650       36       00:02:59      0.00025         0.15858           0.56155                 100                79.371
         5700       36       00:03:01      0.00025         0.35198            0.5507                87.5                81.119
         5750       36       00:03:02      0.00025         0.35303           0.56971               81.25                78.671
         5800       37       00:03:04      0.00025         0.21627           0.54524               93.75                81.818
         5850       37       00:03:06      0.00025        0.037114           0.51953                 100                82.168
         5900       37       00:03:08      0.00025         0.35183           0.57612               93.75                81.469
         5950       37       00:03:09      0.00025         0.12382           0.58896               93.75                79.021
         6000       38       00:03:11      0.00025          0.1492           0.55377                 100                82.168
         6050       38       00:03:12      0.00025         0.20326           0.52524               93.75                 80.07
Training stopped: Met validation criterion
